,title,author,timestamp
0,Another step closer to ruining the internet for everyone.,creggor,2024-02-13T21:40:30.886000+0000
1,"Chinese researchers develop calcium-based battery that lasts 700 cycles | Stable in the air at room temperature, the calcium-oxygen battery can be transformed into flexible fibers for next-gen wearables.",chrisdh79,2024-02-13T12:04:27.407000+0000
2,"Replacement cartilage can grow in any shape with 3D-printed ""spheroids""",chrisdh79,2024-02-13T21:07:53.955000+0000
3,OpenAI CEO warns that 'societal misalignments' could make artificial intelligence dangerous,JackFisherBooks,2024-02-13T20:21:39.876000+0000
4,"28-ton, 1.2-megawatt tidal kite is now exporting power to the grid",chrisdh79,2024-02-12T13:05:41.010000+0000
5,Open-Source Security Chip Released. The first commercial chip based on the OpenTitan hardware security design has hit the market.,Sariel007,2024-02-14T04:06:44.381000+0000
6,Shining Laser Light on Glass Creates a Solar Cell | New energy and sensor applications could await,chrisdh79,2024-02-12T15:20:17.802000+0000
7,"Tokyo scientists create nanoscrolls for next-gen tech | Researchers achieved a major breakthrough by crafting nanoscrolls using Janus nanosheets. This innovation unlocks doors to exciting possibilities in catalysis, optics, and clean energy.",chrisdh79,2024-02-12T02:14:12.599000+0000
8,"Deep Space Station 13 at NASA’s Goldstone complex in California – part of the agency’s Deep Space Network – is an experimental antenna that has been retrofitted with an optical terminal. In a first, this proof of concept received both radio frequency & laser signals from deep space at the same time.",Sariel007,2024-02-12T23:27:16.177000+0000
9,'A mouse for your mouth': New device allows users to scroll with their tongues,Sariel007,2024-02-11T14:55:20.790000+0000
10,"This ultrasound sticker senses changing stiffness of deep internal organs. The sticky, wearable sensor could help identify early signs of acute liver failure.",Sariel007,2024-02-10T15:19:21.554000+0000
11,"In a First, a Prosthetic Limb Can Sense Temperature Like a Living Hand",Sariel007,2024-02-09T19:49:25.474000+0000
12,Alternate qubit design does error correction in hardware. Early-stage technology has the potential to cut qubits needed for useful computers.,Sariel007,2024-02-09T19:33:12.880000+0000
13,Scientists develop a low-cost device to make cell therapy safer | A plastic microfluidic chip can remove some risky cells that could potentially become tumors before they are implanted in a patient.,chrisdh79,2024-02-09T23:42:28.390000+0000
14,"Gel and lithium-ion tech could enable 1000-mile EV range on one charge | Researchers achieve EV battery breakthrough with silicon-based materials and gel electrolytes, moving closer to a 1,000-kilometer range on a single charge.",chrisdh79,2024-02-09T00:57:15.446000+0000
15,Inhalable sensors could enable early lung cancer detection,waozen,2024-02-08T15:16:25.777000+0000
16,AI can now master your music—and it does shockingly well,JackFisherBooks,2024-02-08T11:25:16.893000+0000
17,CERN unleashes powerful robot-dog to inspect nuclear radiation zones,chrisdh79,2024-02-08T02:12:46.934000+0000
18,Sugar cane waste converted into concrete-beating Sugarcrete | Substance has been incorporated into an eco-friendly building material,chrisdh79,2024-02-07T11:38:06.714000+0000
19,"Momentary Fusion Breakthroughs Face Hard Reality. New NIF data yields promise, though road to repeatability remains long.",Sariel007,2024-02-08T15:54:58.764000+0000
20,Researchers have developed a new method to extract high-quality iron using hydrogen plasma-based reduction to turn toxic red mud into iron that is pure enough for steelmaking.,chrisdh79,2024-02-07T15:53:07.864000+0000
21,"Korean researchers develop heat-resistant material that withstands 1000°C/1832°F | Not just high temperatures, the material also works well under extreme UV exposure making it ideal for applications in space too.",chrisdh79,2024-02-06T14:48:12.279000+0000
22,AiSee wearable tells blind users what they're holding in their hand,chrisdh79,2024-02-06T13:27:07.591000+0000
23,Experimental gene therapy allows kids with inherited deafness to hear,JackFisherBooks,2024-02-05T12:43:22.621000+0000
24,"US firm plans to build 10,000 qubit quantum computer by 2026 | The first fault-tolerant quantum computer could be unveiled before the year end, marking an important milestone in the field.",chrisdh79,2024-02-05T16:24:11.990000+0000
25,This new piezoelectric bandage can heal broken bones faster | The future of bone healing could feature 'bone bandages' that harness piezoelectricity and natural minerals.,chrisdh79,2024-02-05T10:51:54.153000+0000
26,This biodegradable sensor can tell if your food is safe from pesticides | The device could help ensure food safety in a world that faces food scarcity and health issues due to the excessive use of agrochemicals.,chrisdh79,2024-02-04T12:59:13.110000+0000
27,NASA’s Next-Generation ISS Spacesuit Passes Zero-Gravity Test,Sariel007,2024-02-03T15:00:22.894000+0000
28,First functional human brain tissue produced through 3D printing | A team of researchers has created functional 3D-printed brain tissue to examine the brain's function and study various neurological disorders.,chrisdh79,2024-02-02T14:15:51.447000+0000
29,"Nanoparticle Skin Patch Monitors Tumor Size During Cancer Care | The nanoparticle-infused skin patch can send its data to a smartphone, making tumor monitoring even easier.",chrisdh79,2024-02-02T12:26:41.736000+0000
30,Infrared Sensors Can Now Peer Around Corners | Non-line-of-sight imaging is no longer restricted to visible wavelengths of light,chrisdh79,2024-02-02T12:12:07.803000+0000
31,Imaging method reveals new cells and structures in human brain tissue. A new microscopy technique that enables high-resolution imaging could one day help doctors diagnose and treat brain tumors.,Sariel007,2024-02-01T22:24:43.389000+0000
32,The European Space Agency will test 3D printing metal on the ISS,Sariel007,2024-02-01T16:21:56.708000+0000
33,"HaLow Wi-Fi standard achieves 1.8-mile range in field test | Ultra-long range could support public Wi-Fi, IoT, smart buildings, and more",chrisdh79,2024-02-01T17:30:58.401000+0000
34,Can a Brain Implant Treat Addiction? Some experts tout deep brain stimulation as a lifeline for people struggling with opioid use. Others question the hype.,Sariel007,2024-02-01T14:51:04.478000+0000
35,"NASA's RST next-gen imaging tech lets experts directly view exoplanets | NASA's Roman Space Telescope, featuring the novel Coronagraph Instrument, is set to transform exoplanet imaging, pushing the boundaries of space exploration.",chrisdh79,2024-02-01T15:30:42.277000+0000
36,"How bacteria and self-healing roads could soon fix the UK’s 750,000 potholes",Sariel007,2024-01-31T15:01:31.976000+0000
37,"Phone vibration motor used to build 3D tumor model for cancer drug testing | Researchers pioneer a $7 DIY device, using a cell phone motor, for high-throughput 3D tumor spheroid creation, revolutionizing anti-cancer drug testing.",chrisdh79,2024-01-31T15:52:32.967000+0000
38,"WaveAerospace has announced ""the world's fastest multirotor UAS,"" a ""new class of aircraft"" | A quadcopter drone with a 300+ mph jet turbine in the middle, capable of all-weather operation.",chrisdh79,2024-01-31T15:50:13.501000+0000
39,"The New, New Transistor. In power electronics, aluminum nitride could overtake two powerhouses that only recently bested silicon.",Sariel007,2024-01-31T13:43:26.627000+0000
40,DNA particles that mimic viruses hold promise as vaccines,waozen,2024-01-31T04:48:19.168000+0000
41,"RTX CHIMERA new microwave fries drone target during White Sands testing | Throughout a three-week field test, Raytheon's CHIMERA high-powered microwave system managed to fry static targets and track aerial targets flawlessly.",chrisdh79,2024-01-30T14:49:26.444000+0000
42,"Researchers developed a battery-free sensor that reacts to sound waves, producing vibrational energy to power an electronic device | The novel sensor would not only reduce battery waste but could also power medical devices like cochlear implants or monitor buildings for faults.",chrisdh79,2024-01-30T12:00:53.261000+0000
43,"A breakthrough clinical trial using gene therapy has restored hearing to five children born deaf | After six months, the children were able to recognize speech and hold conversations, raising hopes for wider use in the near future.",chrisdh79,2024-01-29T12:06:58.918000+0000
44,It turns out NASA’s Mars helicopter was much more revolutionary than we knew | Ingenuity packed more computing power than all other NASA deep space missions combined.,chrisdh79,2024-01-29T15:55:09.541000+0000
45,"China creates atomic clock that will run error-free for 7.2 billion years | Using strontium and ultra-stable lasers, the researchers have built an optical clock, the second of its kind in the world.",chrisdh79,2024-01-29T11:55:29.232000+0000
46,"DNA From the Ocean’s ‘Twilight Zone’ Could Lead to New Lifesaving Drugs, Scientists Say. Researchers catalogued the genes of more than 300 million groups of marine bacteria, viruses and fungi in hopes that the database could lead to breakthroughs in medicine, energy and agriculture.",Sariel007,2024-01-28T15:49:57.262000+0000
47,1/100th of the cost: CPU startup Tachyum claims that one of its processing units can rival dozens of Nvidia H200 GPUs — with a 99% saving that could turn the AI market on its head if true,scuba21,2024-01-28T21:07:42.401000+0000
48,Disney offers an elegant solution to VR’s movement problem | TechCrunch,marksda,2024-01-28T00:47:32.013000+0000
49,"NASA’s Ingenuity Mars Helicopter Has Taken Its Final Flight. Originally designed for up to five flights on Mars, Ingenuity performed 72 over three years, until one of its rotor blades was damaged during landing on January 18.",Sariel007,2024-01-27T14:02:40.240000+0000
50,"First AI-powered handheld medical device to assist physicians in detecting all three common skin cancers: basal cell carcinoma, squamous cell carcinoma, and melanoma.",chrisdh79,2024-01-26T12:16:36.607000+0000
51,World's 1st rhino pregnancy via embryo transfer offers hope to save species | Wildlife conservationists hail this groundbreaking achievement and see it as a potential step toward the protection of the critically endangered northern white rhino.,chrisdh79,2024-01-25T14:47:08.165000+0000
52,Airborne infection risk plummets in face of metal nanoparticle spray | Silver oxide and copper oxide sprays provide a greater than 99% antiviral activity during a 24-hour period examined in the study.,chrisdh79,2024-01-25T13:42:56.383000+0000
53,Urease-powered nanobots for radionuclide bladder cancer therapy,burtzev,2024-01-25T17:27:08.895000+0000
54,Gene Therapy Allows an 11-Year-Old Boy to Hear for the First Time,waozen,2024-01-24T12:35:54.048000+0000
55,Lightweight woven antenna could replace field-deployed dishes | A multi-stable deployable quadrifilar helix antenna with radiation reconfigurability for disaster-prone areas,chrisdh79,2024-01-23T12:34:35.224000+0000
56,Vibrating belt that treats low bone density gets FDA approval | The device is the first of its kind to provide a medication-free treatment option for post-menopausal women that have weakened bones.,chrisdh79,2024-01-23T14:14:21.856000+0000
57,"Liquid RAM Flexes for Wearables, Robots, Implants. A non-volatile version could be on its way, too.",Sariel007,2024-01-22T15:51:46.841000+0000
58,"BT Group Converts Telecom Infrastructure to EV Chargers | The telecom giant says 60,000 curbside cabinets could be adapted",chrisdh79,2024-01-22T16:29:13.268000+0000
59,Researchers transform polluted water into fuel with urea removal | WPI researchers are turning the tide on water pollution. Their material efficiently removes urea and holds the key to turning it into clean hydrogen fuel.,chrisdh79,2024-01-22T01:06:44.980000+0000
60,Diodes at Right Angles Double Autofocus Capacity. Canon twists photosensor rules to build new tech from familiar parts.,Sariel007,2024-01-21T15:26:42.931000+0000
61,Urea-powered nanorobots reduce bladder tumors by 90% in mice,bybatasdie,2024-01-21T12:03:08.559000+0000
62,Flying Kites Deliver Container-Size Power Generation. Automated wind-energy system brings portable renewables off-grid.,Sariel007,2024-01-20T17:06:11.598000+0000
63,Researchers develop world's first functioning graphene semiconductor | Breakthrough could eventually lead to terahertz processors,chrisdh79,2024-01-19T22:55:44.640000+0000
64,Experts craft life-saving 'robot medics' for triage in high-risk places,chrisdh79,2024-01-19T22:48:09.733000+0000
65,The next generation of nuclear reactors is getting more advanced. Here’s how.,Sariel007,2024-01-19T13:50:52.423000+0000
